"lakename","year4","daynum","sampledate","depth","tn_ug","tp_ug","dissolvedOxygen"
"Peter Lake",1992,211,1992-07-29,6.5,312.18,12.86,6.3
"Peter Lake",1992,211,1992-07-29,12,882.43,50.83,0.4
"East Long Lake",1992,216,1992-08-03,0,380.62,9.27,8.9
"East Long Lake",1992,216,1992-08-03,12,1245.9,84.55,0.3
"Peter Lake",1992,218,1992-08-05,0,376.94,7.52,9.8
"Peter Lake",1992,218,1992-08-05,4,299.03,8.12,11.8
"Peter Lake",1992,218,1992-08-05,12,1143.43,72,0.5
"East Long Lake",1992,223,1992-08-10,0,602.69,11.5,8.3
"East Long Lake",1992,223,1992-08-10,1.5,416.57,19.41,8.3
"East Long Lake",1992,223,1992-08-10,12,1044.6,90.1,0.3
"West Long Lake",1992,224,1992-08-11,0,399.32,6.14,8.6
"West Long Lake",1992,224,1992-08-11,1.5,530.8,10.72,8.5
"West Long Lake",1992,224,1992-08-11,3,471.02,7.97,8.7
"West Long Lake",1992,224,1992-08-11,12,1085.02,74.19,0.3
"Peter Lake",1992,225,1992-08-12,0,201.77,9.34,8.4
"Peter Lake",1992,225,1992-08-12,3,398.88,9.87,8.3
"Peter Lake",1992,225,1992-08-12,4,273.58,9.36,10.4
"Peter Lake",1992,225,1992-08-12,6.5,225.27,11.22,3.9
"Peter Lake",1992,225,1992-08-12,12,515.17,42.36,0.1
"East Long Lake",1992,230,1992-08-17,0,399.07,9.35,7.8
"East Long Lake",1992,230,1992-08-17,12,1106.03,82.91,0.1
"West Long Lake",1992,231,1992-08-18,0,382.08,13.15,8.7
"West Long Lake",1992,231,1992-08-18,3,251.81,7.53,8.4
"West Long Lake",1992,231,1992-08-18,12,1110.37,78.78,0.1
"Peter Lake",1992,232,1992-08-19,0,301.57,9.04,8.6
"Peter Lake",1992,232,1992-08-19,3,350.74,11.21,8.4
"Peter Lake",1992,232,1992-08-19,12,681.91,44.83,0.1
"East Long Lake",1992,237,1992-08-24,0,299.31,12.36,8.7
"East Long Lake",1992,237,1992-08-24,12,1118.26,87.04,0.1
"West Long Lake",1992,238,1992-08-25,0,512.32,11.02,8.7
"West Long Lake",1992,238,1992-08-25,12,1169.87,82.43,0.1
"Peter Lake",1992,239,1992-08-26,0,366.5,6.19,8.5
"Peter Lake",1992,239,1992-08-26,12,558.38,49.93,0.1
"East Long Lake",1992,244,1992-08-31,0,661.83,8.55,8.2
"East Long Lake",1992,244,1992-08-31,12,1183.63,94.45,0.1
"West Long Lake",1992,245,1992-09-01,0,430.94,6.52,8.8
"West Long Lake",1992,245,1992-09-01,3,505.57,7.06,8.6
"West Long Lake",1992,245,1992-09-01,4,423.17,7.53,8.4
"West Long Lake",1992,245,1992-09-01,12,955.13,83.6,0.1
"Peter Lake",1992,246,1992-09-02,0,434.18,9.31,9.4
"Peter Lake",1992,246,1992-09-02,1,416.72,8.9,9.2
"Peter Lake",1992,246,1992-09-02,12,702.36,50.18,0.2
"Paul Lake",1992,247,1992-09-03,0,164.08,10.08,9
"Paul Lake",1992,247,1992-09-03,8,1046.09,56.02,0.2
"East Long Lake",1992,251,1992-09-07,0,459.2,7.16,9.4
"East Long Lake",1992,251,1992-09-07,12,961.01,92.84,0.1
"West Long Lake",1992,252,1992-09-08,0,541.25,8.51,9.2
"West Long Lake",1992,252,1992-09-08,12,931.89,81.83,0.1
"Peter Lake",1992,253,1992-09-09,0,417.19,9.27,9.5
"Peter Lake",1992,253,1992-09-09,12,1120.48,55.17,0.2
"Paul Lake",1992,254,1992-09-10,0,204.31,19.37,8.6
"Paul Lake",1992,254,1992-09-10,8,793.99,49.17,0.2
"East Long Lake",1993,137,1993-05-17,0,616.026,17.773,10.1
"East Long Lake",1993,137,1993-05-17,0.5,621.82,20.439,10.3
"East Long Lake",1993,137,1993-05-17,1,504.514,20.507,10.1
"East Long Lake",1993,137,1993-05-17,12,1233,120.07,0.4
"West Long Lake",1993,138,1993-05-18,0,465.68,11.783,11.3
"West Long Lake",1993,138,1993-05-18,5.5,385.881,27.884,5.3
"West Long Lake",1993,138,1993-05-18,12,602.61,37.411,2.2
"Peter Lake",1993,139,1993-05-19,0,373.081,18.534,10.5
"Peter Lake",1993,139,1993-05-19,3,363.392,20.681,12.7
"Peter Lake",1993,139,1993-05-19,12,430.019,31.368,0.3
"Paul Lake",1993,140,1993-05-20,0,248.665,10.697,10
"Paul Lake",1993,140,1993-05-20,3,397.079,10.236,13.3
"Paul Lake",1993,140,1993-05-20,8,1024,46.779,0.4
"East Long Lake",1993,144,1993-05-24,0,632.725,28.271,9.3
"East Long Lake",1993,144,1993-05-24,0.5,642.882,30.377,9.5
"East Long Lake",1993,144,1993-05-24,2,491.61,23.966,8
"East Long Lake",1993,144,1993-05-24,12,1190,128.435,0.4
"West Long Lake",1993,145,1993-05-25,0,381.199,8.381,9.5
"West Long Lake",1993,145,1993-05-25,3.5,373.971,10.852,13
"West Long Lake",1993,145,1993-05-25,12,547.47,42.492,0.3
"Peter Lake",1993,146,1993-05-26,0,312.593,16.814,9.5
"Peter Lake",1993,146,1993-05-26,12,413.096,26.132,0.3
"Paul Lake",1993,147,1993-05-27,0,258.3,7.001,9.3
"Paul Lake",1993,147,1993-05-27,0.5,272.314,7.113,9
"Paul Lake",1993,147,1993-05-27,1.5,341.474,8.962,9.1
"Paul Lake",1993,147,1993-05-27,8,1027.613,19.876,1.9
"East Long Lake",1993,151,1993-05-31,0,725.934,28.717,11
"East Long Lake",1993,151,1993-05-31,2,667.277,29.705,8.2
"East Long Lake",1993,151,1993-05-31,12,1065,107.619,0.3
"West Long Lake",1993,152,1993-06-01,0,531.89,15.964,12
"West Long Lake",1993,152,1993-06-01,12,601.359,41.002,0.3
"Peter Lake",1993,153,1993-06-02,0,414.602,24.58,15.9
"Peter Lake",1993,153,1993-06-02,2.5,434.583,19.583,17.9
"Peter Lake",1993,153,1993-06-02,3.5,374.019,14.754,17.9
"Peter Lake",1993,153,1993-06-02,5.5,282.323,19.517,13.7
"Peter Lake",1993,153,1993-06-02,12,379.362,23.312,0.7
"Paul Lake",1993,154,1993-06-03,0,45.67,7.443,20
"Paul Lake",1993,154,1993-06-03,3,406.315,10.814,9.2
"Paul Lake",1993,154,1993-06-03,8,1079.507,57.979,0.8
"East Long Lake",1993,158,1993-06-07,0,803.73,46.746,10
"East Long Lake",1993,158,1993-06-07,12,1203,118.218,0.3
"West Long Lake",1993,159,1993-06-08,0,532.514,16.697,9.8
"West Long Lake",1993,159,1993-06-08,0.5,519.117,31.203,9.8
"West Long Lake",1993,159,1993-06-08,12,590.592,32.538,0.6
"Peter Lake",1993,160,1993-06-09,0,514.523,32.909,9.5
"Peter Lake",1993,160,1993-06-09,12,525.738,28.689,0.3
"Paul Lake",1993,161,1993-06-10,0,117.556,5.361,8.3
"Paul Lake",1993,161,1993-06-10,4,373.101,5.589,13.1
"Paul Lake",1993,161,1993-06-10,8,769.67,54.594,0.4
"Tuesday Lake",1993,162,1993-06-11,0,237.363,15.231,8.7
"East Long Lake",1993,165,1993-06-14,0,666.732,18.376,9
"East Long Lake",1993,165,1993-06-14,0.5,628.185,22.318,9.1
"East Long Lake",1993,165,1993-06-14,2,672.465,21.865,8.9
"East Long Lake",1993,165,1993-06-14,12,1227,130.61,0.3
"West Long Lake",1993,166,1993-06-15,0,1252,63.243,9.3
"West Long Lake",1993,166,1993-06-15,12,579.808,42.992,0.3
"Peter Lake",1993,167,1993-06-16,0,616.316,51.881,9.6
"Peter Lake",1993,167,1993-06-16,12,424.289,34.104,0.5
"Paul Lake",1993,168,1993-06-17,0,149.364,11.38,8.8
"Paul Lake",1993,168,1993-06-17,8,910.614,59.174,0.7
"East Long Lake",1993,172,1993-06-21,0,633.05,25.381,10.1
"East Long Lake",1993,172,1993-06-21,0.5,693.856,31.305,10.3
"East Long Lake",1993,172,1993-06-21,12,1339,147.326,0
"West Long Lake",1993,173,1993-06-22,0,610.439,19.421,9.2
"West Long Lake",1993,173,1993-06-22,12,868.076,65.4,0
"Peter Lake",1993,174,1993-06-23,0,605.458,41.97,9.9
"Peter Lake",1993,174,1993-06-23,3.5,380.628,30.553,12.6
"Peter Lake",1993,174,1993-06-23,12,685.813,36.254,0.1
"Paul Lake",1993,175,1993-06-24,0,342.826,12.604,8.1
"Paul Lake",1993,175,1993-06-24,8,935.631,55.754,0.1
"Tuesday Lake",1993,176,1993-06-25,0,384.514,12.121,8.3
"Tuesday Lake",1993,176,1993-06-25,3,404.38,15.515,5.3
"Tuesday Lake",1993,176,1993-06-25,11,826.453,32.063,0
"East Long Lake",1993,179,1993-06-28,0,681.915,30.81,8.9
"East Long Lake",1993,179,1993-06-28,1,599.456,29.226,8.6
"East Long Lake",1993,179,1993-06-28,12,1066,137.288,0
"West Long Lake",1993,180,1993-06-29,0,523.234,32.3,9.9
"West Long Lake",1993,180,1993-06-29,3,453.811,23.207,11.9
"West Long Lake",1993,180,1993-06-29,12,630.256,70.352,0
"Peter Lake",1993,181,1993-06-30,0,418.173,25.141,11.4
